Commodity,Price_Date,Modal_Price_Avg,Modal_Price_Median,Min_Price_Avg,Max_Price_Avg,Markets_Reporting,States_Reporting
Potato,2024-02-11,3231.1697674418606,2500.0,2919.0116279069766,3361.8837209302324,430,23
Potato,2024-02-12,3186.7388663967613,2500.0,2837.953441295547,3350.5445344129553,494,23
Potato,2024-03-01,1173.3844282238442,860.0,1052.4501216545011,1283.963503649635,411,23
Potato,2024-03-02,1102.3182897862232,800.0,983.7007125890736,1214.6342042755343,421,23
Potato,2024-03-03,1179.0292887029289,1050.0,1061.7154811715482,1286.5857740585775,239,19
Potato,2024-03-04,1605.8794871794871,1410.0,1454.174358974359,1738.9435897435897,390,25
Potato,2024-03-05,1936.441647597254,1760.0,1772.9862700228832,2084.862700228833,437,24
Potato,2024-03-06,2044.8283752860411,1810.0,1882.9885583524028,2192.3226544622426,437,22
Potato,2024-03-07,2108.6942800788956,2180.0,1950.4437869822484,2248.2386587771202,507,22
Potato,2024-03-08,3171.732673267327,2500.0,2820.2930693069306,3314.7069306930694,505,24
Potato,2024-03-09,3068.8853383458645,2400.0,2765.813909774436,3213.9135338345864,532,26
Potato,2024-03-10,3047.3051470588234,2500.0,2774.560661764706,3210.8198529411766,544,24
Potato,2024-03-11,3298.5730994152045,2525.0,2973.8654970760235,3404.0789473684213,342,19
Potato,2024-03-12,3153.656488549618,2500.0,2821.1736641221373,3326.9312977099235,524,26
Potato,2024-04-01,1170.7386363636363,850.0,1043.7022727272727,1290.884090909091,440,24
Potato,2024-04-02,1018.8769841269841,800.0,920.75,1109.8849206349207,252,17
Potato,2024-04-03,1307.449172576832,1030.0,1166.0874704491725,1437.936170212766,423,22
Potato,2024-04-04,1609.8054187192117,1420.0,1456.642857142857,1744.4162561576354,406,25
Potato,2024-04-05,1933.5731414868105,1750.0,1765.695443645084,2072.6378896882493,417,22
Potato,2024-04-06,2048.3847980997625,1830.0,1880.5890736342042,2247.2066508313537,421,25
Potato,2024-04-07,2109.814889336016,2180.0,1954.1086519114688,2251.9416498993965,497,24
Potato,2024-04-08,3368.928961748634,2500.0,3008.8661202185795,3472.841530054645,366,21
Potato,2024-04-09,3046.104089219331,2400.0,2750.139405204461,3194.565055762082,538,25
Potato,2024-04-10,3022.9710144927535,2450.0,2744.161231884058,3175.1304347826085,552,26
Potato,2024-04-11,3165.575569358178,2400.0,2840.184265010352,3318.399585921325,483,23
Potato,2024-04-12,3186.091254752852,2500.0,2827.638783269962,3346.78897338403,526,26
Potato,2024-05-01,1179.0522727272728,854.0,1051.0477272727273,1307.95,440,24
Potato,2024-05-02,1111.7306791569088,800.0,997.6440281030445,1233.5503512880562,427,23
Potato,2024-05-03,1281.3174224343675,1050.0,1142.2147971360382,1408.4892601431982,419,24
Potato,2024-05-04,1616.6212871287128,1450.0,1463.898514851485,1744.5123762376238,404,23
Potato,2024-05-05,1842.2767527675276,1760.0,1694.2841328413283,1960.4981549815498,271,19
Potato,2024-05-06,2052.8314087759813,1830.0,1889.3625866050809,2194.8267898383374,433,24
Potato,2024-05-07,2126.9863547758287,2200.0,1975.6023391812867,2277.9005847953217,513,25
Potato,2024-05-08,3132.9981515711647,2425.0,2832.6580406654343,3271.7837338262475,541,23
Potato,2024-05-09,3098.732342007435,2400.0,2788.124535315985,3253.6840148698884,538,25
Potato,2024-05-10,3065.500986193294,2500.0,2772.869822485207,3216.639053254438,507,23
Potato,2024-05-11,3091.7609108159395,2450.0,2781.318785578748,3255.660341555977,527,25
Potato,2024-05-12,3124.572222222222,2500.0,2776.2074074074076,3280.248148148148,540,26
Potato,2024-06-01,1168.058275058275,865.0,1041.7575757575758,1285.6573426573427,429,23
Potato,2024-06-02,1086.5330296127563,800.0,969.4441913439636,1209.2050113895216,439,26
Potato,2024-06-03,1331.5714285714287,1080.0,1194.6697892271663,1459.5152224824355,427,26
Potato,2024-06-04,1636.0347394540943,1460.0,1475.893300248139,1769.87841191067,403,23
Potato,2024-06-05,1945.244075829384,1757.5,1788.6516587677725,2095.2582938388628,422,23
Potato,2024-06-06,2079.9862385321103,1850.0,1914.0894495412845,2225.887614678899,436,25
Potato,2024-06-07,2161.5020408163264,2200.0,1994.1795918367347,2318.4367346938775,490,23
Potato,2024-06-08,3090.7753222836095,2400.0,2799.060773480663,3232.038674033149,543,26
Potato,2024-06-09,3075.3661710037177,2400.0,2780.0446096654273,3224.842007434944,538,23
Potato,2024-06-10,3197.5140449438204,2500.0,2881.755617977528,3310.983146067416,356,19
Potato,2024-06-11,3101.6130268199236,2445.0,2778.7739463601533,3305.5785440613026,522,26
Potato,2024-06-12,3149.9177570093457,2500.0,2821.8859813084114,3311.1943925233645,535,26
Potato,2024-07-01,1005.6926229508197,800.0,898.2991803278688,1101.0081967213114,244,18
Potato,2024-07-02,1148.7374429223744,800.0,1021.6187214611872,1276.038812785388,438,25
Potato,2024-07-03,1329.0775,1100.0,1183.19,1469.2575,400,23
Potato,2024-07-04,1505.549180327869,1430.0,1373.5860655737704,1630.717213114754,244,17
Potato,2024-07-05,1957.5483870967741,1765.0,1796.9131513647642,2100.563275434243,403,24
Potato,2024-07-06,2064.3061224489797,1845.0,1903.2925170068027,2219.4149659863947,441,23
Potato,2024-07-07,1878.2961783439491,2185.0,1745.092356687898,1997.7961783439491,314,19
Potato,2024-07-08,3097.418647166362,2400.0,2798.639853747715,3239.475319926874,547,25
Potato,2024-07-09,3101.2008113590264,2365.0,2788.559837728195,3251.075050709939,493,22
Potato,2024-07-10,3099.5807692307694,2435.0,2805.878846153846,3264.1673076923075,520,24
Potato,2024-07-11,3068.152963671128,2480.0,2745.8757170172084,3237.4990439770554,523,26
Potato,2024-07-12,3144.3543599257887,2500.0,2815.9814471243044,3302.8256029684603,539,23
Potato,2024-08-01,1186.2367816091953,840.0,1065.2091954022987,1303.0758620689655,435,22
Potato,2024-08-02,1122.8796296296296,800.0,1004.1736111111111,1246.701388888889,432,22
Potato,2024-08-03,1217.0295857988165,1050.0,1086.0828402366865,1336.3284023668639,338,22
Potato,2024-08-04,1665.5869017632242,1480.0,1501.23677581864,1799.1763224181361,397,23
Potato,2024-08-05,1965.3958333333333,1770.0,1803.3680555555557,2133.296296296296,432,24
Potato,2024-08-06,2035.9633507853403,1845.0,1868.6465968586388,2172.722513089005,382,24
Potato,2024-08-07,2907.3411306042885,2400.0,2614.150097465887,3060.5711500974658,513,23
Potato,2024-08-08,3112.887037037037,2400.0,2803.8166666666666,3260.7925925925924,540,25
Potato,2024-08-09,3295.3746397694526,2500.0,2966.6599423631123,3402.809798270893,347,19
Potato,2024-08-10,3101.8126232741615,2400.0,2807.112426035503,3247.025641025641,507,24
Potato,2024-08-11,3104.304924242424,2445.0,2775.3579545454545,3287.7007575757575,528,24
Potato,2024-08-12,3308.3166666666666,2685.0,2946.8055555555557,3436.5833333333335,360,19
Potato,2024-09-01,1165.313679245283,830.0,1048.3466981132076,1289.436320754717,424,24
Potato,2024-09-02,1135.0945626477542,800.0,1010.3309692671395,1255.6075650118203,423,23
Potato,2024-09-03,1205.2422535211267,1085.0,1065.6225352112676,1322.5661971830987,355,23
Potato,2024-09-04,1613.41782729805,1490.0,1475.9888579387186,1741.593314763231,359,22
Potato,2024-09-05,1965.6125290023201,1780.0,1800.9443155452436,2113.8190255220416,431,25
Potato,2024-09-06,1965.1379310344828,1850.0,1833.4750957854405,2072.2413793103447,261,17
Potato,2024-09-07,2852.1369863013697,2400.0,2616.737769080235,3020.033268101761,511,26
Potato,2024-09-08,3050.217311233886,2400.0,2737.162062615101,3195.499079189687,543,25
Potato,2024-09-09,3018.4835164835163,2360.0,2715.635531135531,3166.322344322344,546,23
Potato,2024-09-10,3071.3606237816766,2400.0,2771.4132553606237,3237.245614035088,513,26
Potato,2024-09-11,3081.6295546558704,2400.0,2766.825910931174,3236.587044534413,494,24
Potato,2024-09-12,3082.8175046554934,2480.0,2765.3612662942273,3243.893854748603,537,23
Potato,2024-10-01,1163.032258064516,800.0,1034.9400921658987,1275.0460829493088,434,24
Potato,2024-10-02,1029.2779369627508,800.0,910.6418338108882,1145.406876790831,349,23
Potato,2024-10-03,1289.7071129707113,1135.0,1167.0669456066946,1395.878661087866,239,19
Potato,2024-10-04,1560.0754716981132,1500.0,1419.24213836478,1683.2861635220127,318,20
Potato,2024-10-05,1979.5114503816794,1780.0,1815.620865139949,2131.091603053435,393,24
Potato,2024-10-06,2098.790432801822,1850.0,1932.9202733485195,2287.986332574032,439,23
Potato,2024-10-07,2842.4765625,2402.5,2606.484375,2998.28125,512,24
Potato,2024-10-08,3068.783464566929,2400.0,2761.1692913385828,3208.214566929134,508,23
Potato,2024-10-09,3010.75641025641,2355.0,2708.57326007326,3169.2417582417584,546,24
Potato,2024-10-10,3080.312252964427,2425.0,2783.9525691699605,3245.50395256917,506,25
Potato,2024-10-11,3297.766129032258,2620.0,2936.7204301075267,3418.2526881720432,372,20
Potato,2024-10-12,3044.9688715953307,2400.0,2739.2140077821014,3203.0992217898834,514,25
Potato,2024-11-01,1133.3771289537713,800.0,1021.1946472019465,1258.970802919708,411,25
Potato,2024-11-02,1015.6984126984127,810.0,913.9484126984127,1116.7063492063492,252,17
Potato,2024-11-03,1368.2285012285013,1160.0,1227.5208845208845,1498.1130221130222,407,22
Potato,2024-11-04,1670.4640522875818,1500.0,1535.575163398693,1795.7058823529412,306,20
Potato,2024-11-05,1929.8986666666667,1760.0,1771.0026666666668,2064.544,375,23
Potato,2024-11-06,2064.6398210290827,1850.0,1899.903803131991,2220.0536912751677,447,25
Potato,2024-11-07,2852.524850894632,2400.0,2614.2862823061632,3017.2842942345924,503,24
Potato,2024-11-08,3268.625,2467.5,2914.2277777777776,3373.0,360,21
Potato,2024-11-09,3029.7090909090907,2355.0,2750.887272727273,3181.630909090909,550,23
Potato,2024-11-10,3074.958932238193,2400.0,2769.930184804928,3236.104722792608,487,22
Potato,2024-11-11,3157.1127819548874,2560.0,2837.4436090225563,3323.4605263157896,532,24
Potato,2024-11-12,3023.602661596958,2345.0,2708.9885931558933,3185.43536121673,526,26
Potato,2024-12-01,1146.322891566265,800.0,1016.8240963855421,1266.9759036144578,415,24
Potato,2024-12-02,1126.0047505938242,800.0,1013.1425178147268,1241.2375296912114,421,23
Potato,2024-12-03,1402.5690866510538,1200.0,1262.456674473068,1527.6674473067915,427,23
Potato,2024-12-04,1713.0106666666666,1550.0,1569.2346666666667,1843.5546666666667,375,23
Potato,2024-12-05,1905.122950819672,1795.0,1759.6516393442623,2029.5901639344263,244,18
Potato,2024-12-06,2111.440909090909,1900.0,1937.5227272727273,2263.634090909091,440,24
Potato,2024-12-07,2827.761316872428,2400.0,2589.409465020576,2984.1522633744858,486,25
Potato,2024-12-08,3091.3105360443624,2400.0,2784.988909426987,3241.981515711645,541,22
Potato,2024-12-09,3011.984761904762,2350.0,2718.133333333333,3169.2361904761906,525,24
Potato,2024-12-10,3135.3256880733943,2400.0,2832.4495412844035,3279.3004587155965,436,22
Potato,2024-12-11,3160.1044487427466,2500.0,2843.3172147001933,3329.4448742746613,517,24
Potato,2024-12-12,2922.7190388170056,2250.0,2624.861367837338,3078.5674676524955,541,24
Potato,2025-01-01,2636.6045340050377,2000.0,2330.0403022670025,2754.198992443325,397,19
Potato,2025-01-02,2048.082375478927,1182.5,1801.4176245210729,2161.950191570881,522,22
Potato,2025-01-03,1782.546617915905,1050.0,1576.1901279707495,1881.4478976234004,547,24
Potato,2025-01-04,1716.9811320754718,1200.0,1522.5094339622642,1816.0716981132075,530,22
Potato,2025-01-05,1802.0551020408163,1225.0,1584.438775510204,1895.5285714285715,490,23
Potato,2025-01-06,2217.6498599439774,1400.0,1937.1316526610644,2308.0,357,18
Potato,2025-02-01,2443.5625,1800.0,2176.9166666666665,2576.8977272727275,528,24
Potato,2025-02-02,2248.1262886597938,1200.0,1967.6030927835052,2339.884020618557,388,18
Potato,2025-02-03,1948.0024630541873,1085.0,1727.6847290640394,2034.9655172413793,406,17
Potato,2025-02-04,1732.0191972076789,1200.0,1537.804537521815,1832.1431064572425,573,25
Potato,2025-02-05,1786.4973544973545,1220.0,1571.8148148148148,1900.0388007054673,567,24
Potato,2025-02-06,1909.060070671378,1252.0,1682.5689045936397,2022.4540636042402,566,23
Potato,2025-03-01,2520.4814814814813,1800.0,2251.6925925925925,2656.5833333333335,540,26
Potato,2025-03-02,1962.5119047619048,1160.0,1729.748299319728,2065.3809523809523,588,23
Potato,2025-03-03,1747.8088737201365,1080.0,1543.6092150170648,1851.9419795221843,586,21
Potato,2025-03-04,1721.506129597198,1200.0,1527.9264448336253,1828.9474605954465,571,25
Potato,2025-03-05,1798.1636029411766,1200.0,1577.6764705882354,1902.3511029411766,544,24
Potato,2025-03-06,1917.8599290780141,1260.0,1678.0691489361702,2036.6489361702127,564,23
Potato,2025-04-01,2522.2970873786408,1800.0,2242.970873786408,2668.493203883495,515,23
Potato,2025-04-02,1929.2662229617304,1150.0,1696.8968386023294,2044.6888519134775,601,25
Potato,2025-04-03,1743.559265442404,1055.0,1539.771285475793,1845.2003338898164,599,26
Potato,2025-04-04,1696.0555555555557,1200.0,1495.4175084175083,1803.7424242424242,594,25
Potato,2025-04-05,1956.1483375959078,1250.0,1709.7289002557545,2041.5959079283887,391,19
Potato,2025-04-06,1921.4665492957747,1280.0,1691.3714788732395,2031.6426056338028,568,25
Potato,2025-05-01,2883.9937304075233,2150.0,2558.087774294671,2992.9780564263324,319,19
Potato,2025-05-02,1912.4092409240925,1132.5,1705.2953795379537,2022.5742574257426,606,23
Potato,2025-05-03,1782.3082191780823,1100.0,1571.849315068493,1888.275684931507,584,25
Potato,2025-05-04,1698.5590828924162,1200.0,1492.6931216931216,1797.1358024691358,567,23
Potato,2025-05-05,1822.0755395683452,1225.0,1602.586330935252,1927.1420863309352,556,23
Potato,2025-05-06,1901.996551724138,1267.5,1683.603448275862,2010.5741379310346,580,25
Potato,2025-06-01,2539.2661596958174,1800.0,2256.2661596958174,2676.560836501901,526,23
Potato,2025-06-02,1939.0230642504118,1160.0,1707.9719934102143,2052.116968698517,607,25
Potato,2025-06-03,1745.1088082901554,1100.0,1557.5993091537132,1840.9550949913644,579,22
Potato,2025-06-04,1848.170792079208,1242.5,1628.2673267326732,1937.5420792079208,404,20
Potato,2025-06-05,1810.7088388214904,1250.0,1598.5441941074523,1929.0381282495666,577,24
Potato,2025-06-06,1970.9363957597172,1286.5,1736.5371024734982,2088.6978798586574,566,25
Potato,2025-07-01,2434.091234347048,1750.0,2170.7298747763866,2572.525939177102,559,26
Potato,2025-07-02,1937.5108877721943,1120.0,1699.7721943048575,2046.499162479062,597,21
Potato,2025-07-03,1751.4120603015076,1100.0,1547.0485762144053,1857.817420435511,597,24
Potato,2025-07-04,1706.38698630137,1200.0,1510.2123287671234,1815.1917808219177,584,23
Potato,2025-07-05,1823.0657439446368,1242.5,1607.0190311418685,1928.1955017301038,578,26
Potato,2025-07-06,2022.0559139784946,1285.0,1770.468817204301,2118.6881720430106,465,22
Potato,2025-08-01,2448.5822550831795,1780.0,2181.9907578558227,2577.3234750462107,541,26
Potato,2025-08-02,1890.4972972972973,1100.0,1640.327927927928,2001.7027027027027,555,24
Potato,2025-08-03,1789.2053742802302,1100.0,1589.2648752399232,1889.2955854126678,521,23
Potato,2025-08-04,1696.3089005235602,1200.0,1500.6247818499128,1807.8795811518326,573,26
Potato,2025-08-05,1810.0611205432938,1250.0,1592.6213921901528,1925.7181663837011,589,25
Potato,2025-08-06,2154.42385786802,1360.0,1879.8248730964467,2244.213197969543,394,20
Potato,2025-09-01,2371.149908592322,1700.0,2107.9798903107862,2499.4789762340038,547,25
Potato,2025-09-02,2047.602380952381,1140.0,1792.654761904762,2136.404761904762,420,20
Potato,2025-09-03,1934.3863080684596,1140.0,1707.4180929095355,2019.9511002444988,409,17
Potato,2025-09-04,1723.4584837545126,1200.0,1533.120938628159,1828.3249097472924,554,24
Potato,2025-09-05,1851.7477954144622,1240.0,1627.3403880070546,1965.8342151675486,567,23
Potato,2025-09-06,1947.8623188405797,1300.0,1719.5652173913043,2064.8514492753625,552,22
Potato,2025-10-01,2385.2539964476023,1650.0,2120.6252220248666,2519.309058614565,563,26
Potato,2025-10-02,1913.115120274914,1100.0,1693.8264604810997,2014.1924398625429,582,24
Potato,2025-10-03,1750.6110183639398,1100.0,1561.178631051753,1852.499165275459,599,21
Potato,2025-10-04,1718.8171641791046,1200.0,1509.1828358208954,1818.027985074627,536,25
Potato,2025-10-05,1345.5382436260622,1150.0,1205.3767705382436,1476.7507082152974,353,20
